participant_id,split
V001,test
V002,train
V003,validation
V004,validation
V005,train
V006,train
V007,validation
V008,validation
V009,train
V010,train
V011,train
V012,validation
V013,train
V014,train
V015,train
V016,test
V017,train
V018,train
V019,train
V020,train
V021,train
V022,test
V023,train
V024,validation
V025,test
V026,validation
V027,test
V028,train
V029,test
V030,test
V031,train
V032,test
V033,test
V034,train
V035,train
V036,train
V037,test
V038,train
V039,train
V040,validation
V041,train
V042,train
V043,train
V044,train
V045,test
V046,validation
V047,validation
V048,validation
V049,train
V050,train
V051,test
V052,test
V053,train
V054,validation
V055,train
V056,train
V057,train
V058,validation
V059,train
V060,train
V061,test
V062,train
V063,test
V064,train
V065,test
V066,train
V067,train
V068,test
V069,train
V070,test
V071,train
V072,train
V073,train
V074,validation
V075,validation
V076,test
V077,validation
V078,validation
V079,validation
V080,train
V081,train
V082,test
V083,train
V084,validation
V085,train
V086,test
V087,validation
V088,train
V089,train
V090,train
V091,train
V092,train
V093,validation
V094,train
V095,train
V096,validation
V097,train
V098,validation
V099,train
V100,test
V101,train
V102,train
V103,train
V104,validation
V105,train
V106,train
V107,train
V108,train
V109,test
V110,test
V111,train
V112,test
V113,validation
V114,train
V115,train
V116,train
V117,train
V118,train
V119,train
V120,train
V121,train
V122,train
V123,validation
V124,train
V125,train
V126,train
V127,test
V128,validation
V129,train
V130,train
V131,train
V132,train
V133,test
V134,train
V135,validation
V136,train
V137,train
V138,train
V139,test
V140,train
V141,test
V142,train
V143,train
V144,test
V145,validation
V146,train
V147,train
V148,validation
V149,validation
V150,train
V151,test
V152,train
V153,train
V154,validation
V155,train
V156,train
V157,test
V158,train
V159,test
V160,train
V161,train
V162,train
V163,train
