participant_id,split
NHANES_J_100008,train
NHANES_J_100012,train
NHANES_J_100037,train
NHANES_J_100046,train
NHANES_J_100056,validation
NHANES_J_100061,train
NHANES_J_100105,train
NHANES_J_100112,test
NHANES_J_100123,validation
NHANES_J_100127,train
NHANES_J_100150,train
NHANES_J_100165,train
NHANES_J_100168,validation
NHANES_J_100192,train
NHANES_J_100212,train
NHANES_J_100214,train
NHANES_J_100229,train
NHANES_J_100230,train
NHANES_J_100238,train
NHANES_J_100250,validation
NHANES_J_100257,train
NHANES_J_100265,test
NHANES_J_100281,train
NHANES_J_100292,train
NHANES_J_100301,validation
NHANES_J_100311,train
NHANES_J_100347,train
NHANES_J_100353,test
NHANES_J_100361,validation
NHANES_J_100369,train
NHANES_J_100388,train
NHANES_J_100389,test
NHANES_J_100393,train
NHANES_J_100402,train
NHANES_J_100407,test
NHANES_J_100410,train
NHANES_J_100421,train
NHANES_J_100447,train
NHANES_J_100454,train
NHANES_J_100460,validation
NHANES_J_100468,train
NHANES_J_100481,test
NHANES_J_100483,test
NHANES_J_100484,train
NHANES_J_100492,train
NHANES_J_100499,validation
NHANES_J_100505,validation
NHANES_J_100513,train
NHANES_J_100521,train
NHANES_J_100530,train
NHANES_J_100535,test
NHANES_J_100557,train
NHANES_J_100574,train
NHANES_J_100575,train
NHANES_J_100579,train
NHANES_J_100582,train
NHANES_J_100594,test
NHANES_J_100599,train
NHANES_J_100625,train
NHANES_J_100657,train
NHANES_J_100677,validation
NHANES_J_100681,test
NHANES_J_100705,test
NHANES_J_100715,train
NHANES_J_100720,train
NHANES_J_100743,validation
NHANES_J_100747,validation
NHANES_J_100754,train
NHANES_J_100780,validation
NHANES_J_100802,train
NHANES_J_100815,train
NHANES_J_100847,validation
NHANES_J_100865,train
NHANES_J_100874,train
NHANES_J_100895,test
NHANES_J_100902,train
NHANES_J_100926,validation
NHANES_J_100930,train
NHANES_J_100936,train
NHANES_J_100937,validation
NHANES_J_100949,train
NHANES_J_100972,train
NHANES_J_100986,validation
NHANES_J_100996,train
NHANES_J_101003,train
NHANES_J_101023,test
NHANES_J_101024,train
NHANES_J_101028,train
NHANES_J_101049,validation
NHANES_J_101051,train
NHANES_J_101068,test
NHANES_J_101079,train
NHANES_J_101087,validation
NHANES_J_101091,train
NHANES_J_101095,validation
NHANES_J_101096,train
NHANES_J_101103,train
NHANES_J_101108,train
NHANES_J_101123,train
NHANES_J_101141,train
NHANES_J_101147,test
NHANES_J_101149,train
