participant_id,split
SYN-0001,train
SYN-0002,train
SYN-0003,train
SYN-0004,train
SYN-0005,train
SYN-0006,train
SYN-0007,train
SYN-0008,test
SYN-0009,train
SYN-0010,validation
SYN-0011,test
SYN-0012,train
SYN-0013,test
SYN-0014,validation
SYN-0015,train
SYN-0016,train
SYN-0017,train
SYN-0018,train
SYN-0019,test
SYN-0020,train
SYN-0021,validation
SYN-0022,validation
SYN-0023,test
SYN-0024,validation
SYN-0025,train
SYN-0026,test
SYN-0027,train
SYN-0028,validation
SYN-0029,train
SYN-0030,test
SYN-0031,train
SYN-0032,train
SYN-0033,train
SYN-0034,test
SYN-0035,validation
SYN-0036,validation
SYN-0037,validation
SYN-0038,train
SYN-0039,train
SYN-0040,train
SYN-0041,test
SYN-0042,test
SYN-0043,validation
SYN-0044,test
SYN-0045,train
SYN-0046,train
SYN-0047,train
SYN-0048,test
SYN-0049,validation
SYN-0050,train
SYN-0051,test
SYN-0052,validation
SYN-0053,validation
SYN-0054,train
SYN-0055,train
SYN-0056,train
SYN-0057,validation
SYN-0058,validation
SYN-0059,train
SYN-0060,train
SYN-0061,train
SYN-0062,validation
SYN-0063,train
SYN-0064,train
SYN-0065,train
SYN-0066,validation
SYN-0067,validation
SYN-0068,validation
SYN-0069,train
SYN-0070,train
SYN-0071,train
SYN-0072,train
SYN-0073,train
SYN-0074,train
SYN-0075,train
SYN-0076,train
SYN-0077,train
SYN-0078,train
SYN-0079,test
SYN-0080,train
SYN-0081,train
SYN-0082,validation
SYN-0083,validation
SYN-0084,train
SYN-0085,validation
SYN-0086,test
SYN-0087,test
SYN-0088,validation
SYN-0089,train
SYN-0090,train
SYN-0091,test
SYN-0092,train
SYN-0093,test
SYN-0094,train
SYN-0095,test
SYN-0096,train
SYN-0097,train
SYN-0098,train
SYN-0099,train
SYN-0100,train
SYN-0101,train
SYN-0102,train
SYN-0103,test
SYN-0104,train
SYN-0105,validation
SYN-0106,train
SYN-0107,train
SYN-0108,train
SYN-0109,train
SYN-0110,test
SYN-0111,validation
SYN-0112,train
SYN-0113,test
SYN-0114,validation
SYN-0115,train
SYN-0116,train
SYN-0117,test
SYN-0118,train
SYN-0119,validation
SYN-0120,validation
SYN-0121,test
SYN-0122,train
SYN-0123,train
SYN-0124,train
SYN-0125,train
SYN-0126,train
SYN-0127,train
SYN-0128,validation
SYN-0129,validation
SYN-0130,test
SYN-0131,train
SYN-0132,test
SYN-0133,train
SYN-0134,train
SYN-0135,test
SYN-0136,test
SYN-0137,test
SYN-0138,train
SYN-0139,validation
SYN-0140,train
SYN-0141,test
SYN-0142,train
SYN-0143,validation
SYN-0144,train
SYN-0145,train
SYN-0146,test
SYN-0147,train
SYN-0148,train
SYN-0149,train
SYN-0150,validation
SYN-0151,validation
SYN-0152,train
SYN-0153,train
SYN-0154,test
SYN-0155,train
SYN-0156,train
SYN-0157,validation
SYN-0158,validation
SYN-0159,train
SYN-0160,train
SYN-0161,train
SYN-0162,train
SYN-0163,train
SYN-0164,train
SYN-0165,validation
SYN-0166,train
SYN-0167,train
SYN-0168,test
SYN-0169,validation
SYN-0170,train
SYN-0171,validation
SYN-0172,train
SYN-0173,validation
SYN-0174,train
SYN-0175,train
SYN-0176,test
SYN-0177,test
SYN-0178,train
SYN-0179,test
SYN-0180,train
SYN-0181,train
SYN-0182,train
SYN-0183,test
SYN-0184,train
SYN-0185,test
SYN-0186,train
SYN-0187,train
SYN-0188,validation
SYN-0189,validation
SYN-0190,train
SYN-0191,test
SYN-0192,train
SYN-0193,train
SYN-0194,validation
SYN-0195,train
SYN-0196,train
SYN-0197,train
SYN-0198,test
SYN-0199,train
SYN-0200,train
SYN-0201,train
SYN-0202,validation
SYN-0203,train
SYN-0204,train
SYN-0205,test
SYN-0206,validation
SYN-0207,test
SYN-0208,train
SYN-0209,train
SYN-0210,train
SYN-0211,train
SYN-0212,train
SYN-0213,train
SYN-0214,test
SYN-0215,train
SYN-0216,test
SYN-0217,validation
SYN-0218,train
SYN-0219,train
SYN-0220,train
SYN-0221,validation
SYN-0222,train
SYN-0223,train
SYN-0224,train
SYN-0225,train
SYN-0226,test
SYN-0227,train
SYN-0228,train
SYN-0229,train
SYN-0230,validation
SYN-0231,train
SYN-0232,train
SYN-0233,train
SYN-0234,test
SYN-0235,train
SYN-0236,train
SYN-0237,test
SYN-0238,train
SYN-0239,test
SYN-0240,train
